Arshad Warsi	5' 5"	1968	,,
Doris Schade	1,66m	1924	,
Filip Horanský	1.75m		Piestany, Slovakia
Francisco Cabello (tennis)	6'3" (190 cm)	1972	, Argentina
Janne Ahonen	1.84 m		,
Kevin Maggs	5 ft 11 in		Bristol, England
Leonid Kolumbet	5' 10" (178 cm)	1937	,, Ukraine
Abner Mares	5 ft 5 in (165 cm)	1985	,
Anke Möhring	5'11" (181 cm)	1969	Magdeburg, Sachsen-Anhalt
Armin Scholz	ft in	1976	,
Bryan Barley	5ft 10	1960	,
Bui Quang Huy	1,78m	1982	,
John Towey	5 ft 7 in	1940	,
Luis Francisco García	5'9	1987	,
Alexey Kedryuk	6 ft. 4 in. (1.91 m)		Almaty, Kazakhstan
Ally Riddle	5ft 8 inches		Arbroath,
Amina Shafaat	5'8" (180 cm)	1978	,
Andreas Michalopoulos	1.78 cm		,
Angélica María	1,68nbsp;m (5 ft 6 in)	1944	,
Annemarie Kramer	1.69 m	1975	,
Connie Kreski	5 ft 5 in		, United States
Gary Vinson	6' (1.83 m)	1936	, U.S.
Harry Kenny	5'8''	1962	,
Holly Kiser	5'10"		,
Jairo Velasco, Jr.	6' (183 cm)		, Spain
Jasmina Ilić	6'1"		,
Jerry Jarrett	5 ft 7 in (170 cm)	1942	,
Anna Li	5ft 4"		,
August Kiss	170	1802	Paprotzan,
Barrie McDermott	5 ft 10 in (1.79 m)	1972	,
Benedikt Dorsch	5'10" (178 cm)	1981	, Germany
Brendan Kennedy	6 ft 2 in / 1.88 m	1974	,
Daniel Courcol	6'3" (190 cm)		, France
Denisa Chládková	5'8 1/2"/1.74 m		Pargue, Czech Republic
Emma Coburn	5 feet, 8 inches	1990	Boulder, Colorado
Gilda Sansone	1.77m	1989	,,
Jeremy Transue	5'11'' ft	1983	Catskill, NY, USA
Keith McErlean	5'11 (178 cm)		,,
Angel Hernandez (boxer)	5′ 8″ (173cm)	1975	,
Anthony Peterson	5 ft 8 in (173 cm)	1985	,
Chad Hunt	5'10	1973	,
Dan White (rugby union)	5 ft 8 in (1.79 m)		,
Eva Habermann	5' 7" (1.70 m)	1976	,
Fred Parfitt	5 ft 8½ in	1869	,
Graeme Bachop	1.81m(5ft 11in)		[Christchurch , New Zealand]
Inés Gorrochategui	1.69 m (5'6½)	1973	,
Jack Bosden	184 cm		,
Alonso López	5 ft 5 in (167 cm)	1986	,,
Chris Riley (rugby league)	172cm	1988	,,
Daniele Giorgini	5'11" (180 cm)	1984	,
Glenn Cunningham (athlete)	5'10	1909	,
Harry Guardino	5' 10" (1.78 m)	1925	,
Jodie Kidd	1.88 (6 feet 2 inches)	1978	, Surrey, England
Karyn Bryant	5'8" (1.7m)		,,
Kevin McGuinness	5 ft 8 in (174 cm)	1976	Australia
Kris Kahler	6 ft 3 in (1.94 m)		,,
Aleksandra Olsza	Unknown		Katowice, Poland
B.V.S.Ravi	5'9	1974	,
Ben Tackie	5'9"	1973	,
David Hannah	1.80m (5ft 10¾in)	1973	,
Devorah Frost	5 ft 7 in	1981	,
Francisco Lachowski	6 ft 3 in (1.91 m)	1991	, Brazil
Jim Hannan (rugby player)	5 ft 9 in		,
Lexi Fernandez	5'2"	1995	,
Li Xiaopeng (gymnast)	5'3"	1981	,
Amy Caron	8,9"		Castro Valley, California
Chi In-Jin	5ft. 7in. (1.70m)	1973	,
Diccon Edwards	5 ft 8 in	1973	London
Fritz Wiessner	5'6"		,
Jimmy Smith (fighter)	5' 11"		,
John Orchard	6'2"	1928	,
Juliana Knust	1,64	1981	,,
Kabba Samura	1.72 m (5 ft 6½ in)	1981	,
Kurt Elimä	1,75 m		Korpilombolo, Norrbotten, Sweden
Antonio Avelar	5 ft 7 in (173 cm)	1958	,
Arvind Parmar	6 ft 4 in (193 cm)	1978	, England, UK
Bob Green (tennis)	6'4" (193 cm)		,United States
Bobby Tambling	1.86m	1941	,
Francisco Puertas Soto	6 ft 1 in (1.85 m)	1963	,
Grete Šadeiko	178 cm		,
Heath Benedict	6 ft 4.75 in (195 cm)		,
Hugo Valdez	5 ft 11 in (182 cm)	1988	,
Jason Chan (rugby league)	184cm	1984	,
Julian Kern	5'11 (181cm)	1989	,
Adam van Koeverden	5 ft 11 in		,,
Andriy Hryvko	1.79 m	1983	, Soviet Union
Andy Titterrell	5 ft 8 ins (1.73 m)	1981	,,
Ayşegül Behlivan	165 CM		MERSİN/TARSUS
Christian Hammer	6 ft. 2 in. (188 cm.)	1987	,
Dan Atherton	155cm	1982	, England, United Kingdom
Dicky Eklund	5 ft 10 in (178 cm)	1957	,
Halyna Andreyeva	173 cm		,
Isabelle Caro	1.65 m (5 ft 5 in)	1982	,
Jade McSorley	5 ft 9 in (1.75 m)	1988	,
Jayanta Chattopadhyay	5' 11" (approximately 1.8 metres)	1946	,
Joe Weider	5 ft. 10 in.	1919	,,
Jon Schwartz (drummer)	5 ft 9 in (1.75 m)	1956	,,
Josef Čihák	6'1" (185 cm)		, Czechoslovakia
Kermit Cintrón	5 ft. 11 in. (180 cm.)	1979	,
Len Beynon	5' 5"	1912	,
Léa Seydoux	168 cm (5' 6")	1985	France
Andreas Lesch	6'5" (196 cm)	1966	, West Germany
Brian Devening	6'1" (185 cm)		, Wisconsin, United States
Chris Carter (actor)	6' 0" (1.60 m)	1985	,
Dick Doyle	5’10”		,
Drew Neilson	5'10"	1974	,
Eryn Bulmer	5'8" (172 cm)	1976	,
Gilberto Josué González	5 ft 11 in (180 cm)	1989	,,
Gilberto Román	5 ft 4 in (164 cm)	1961	,,
James Turner (tennis)	5'11" (180 cm)		,,
Jared Graves	1.77m		,
Jason Moodie	185 cm (6 ft 1 ins)	1974	,
Abdullah Jamaan	?	1985	New York City, United States
Caswell Berry	5'10"	1983	,,
Edward C. Stearns	5'6"	1856	,,
Elio Rojas	5 ft 7 in (170 cm)	1982	,, Dominican Republic
Jelena Pandžić	1.70 m	1983	, Croatia (then Yugoslavia)
Joan van den Akker	1.64 m	1984	,
Johnny Kidd (wrestler)	5 ft 7 in (175 cm)		,
Juan Pablo Brzezicki	177 cm (5 ft 10 in)	1982	,
Aaron Liffchak	5 ft 10 in (1.78 m)	1985	London, England
Aleksei Tammiste	-	1946	,
Ambrose Olsen	5' 10"		,,
Cormac Bonnar	6’2”		,
Cândido Barbosa	5'8" (172 cm)	1974	,
David Etxebarria	1.64 m	1973	, Spain
Fahprakorb Rakkiatgym	5 ft 7 in (170 cm)	1975	,
Gary Payton (astronaut)	6 foot 4 inches	1948	,
Jean Capdouze	5 ft 8 in	1942	,
Jimmy Arias	5'9'' (175 cm)		, New York
Jimmy Brownlie	5ft 10.75in (1.80m)	1885	,
Joe McKinney	6'2"	1967	,
John Fogarty (rugby union)	1.78m	1977	Cork, Ireland
K. Krishnasamy	6nbsp;ft 1nbsp;inches		,,
Luke Douglas	6 ft 3 in (1.92 m)		,
Adrienne Armstrong	5' 5" (1.63 m)	1969	,,
Alain Penaud	6ft 0in	1969	,
Andrew Burrow	5'10" (178 cm)		, South Africa
Atom Araullo	5'8"	1982	,
Belinda Cordwell	 		, New Zealand
Hideharu Miyahira	1,73 m		,
Ian Stenlake	185cm Or 6Ft		,,
Alice Taticchi	1.84 m (6 ft 1.5 in)	1990	,,
Amber Allen	5'8	1975	,,
Butch Buchholz	6'2" (188 cm)		,
Csaba Markus	44	1953	,
Eoghan Hickey	5'11.5"	1981	,
Francisco Santos	1.78m (5 ft 10 in)	1962	,
Hamad Al-Eissa	?	1982	?, Saudi Arabia
Henry Cooper	1.84 m (6 ft 1 1/2 in)	1934	,
Jared Mills	5ft 11 1/2	1976	Whangarei, New Zealand
Jo Novita	1.58 m	1980	jakarta
John Bacon (footballer)	5'10"	1973	,
Johnny Flaherty	5’7”		,
Katie McGrath	5'6 / 168 cm	1983	,
Laurence Courtois	5'7 3/4"/1.72 m		Kortrijk, Belgium
Ainsley Howard	5' 5"		,,
Alan Davies	5'11"	1966	,,,
Alan Dickens (rugby union)	5 ft 10 in (1.78 m)		,,
Andrey Kashechkin	1.84 m	1980	, Soviet Union
Aparna Popat	160	1978	,
Cara Delevingne	5 ft 9½ in (1.76 m)	1992	London, England, United Kingdom
David Nainkin	6' (183 cm)		South Africa
Dylan Wykes	6'1"	1983	,
Edouard Duplan	.		,
Gert Wingårdh	150	1951	Skövde
James Sinclair (martial artist)	6 ft 2 in		,,
Jason Goodall	6'1" (185 cm)		,
Jesús Ángel Nerio	6 ft 2 in (189 cm)	1990	,,
John Doyle (rugby league)	184 cm	1977	,
Lance Krall	5' 8" (1.73 m)		,
Lee Tsuen Seng	180 cm	1979	Ipoh
Alejandro Argüello	174 cm (5'8")	1982	, Mexico
Bryan Henare	192cm	1974	,
Craig Campbell (tennis)	6'3" (190 cm)		,South Africa
David Belle	1.79m		, France
Gavin Duffy	6 ft 1 in (1.85 m)	1981	,,
J. P. Monroe	5 ft 10 in	1977	,
Jack Bassett	5 ft. 10½ ins.	1905	,
Jamie Thackray	6 ft 2 in (1.89 m)	1979	,,,
John DeSantis	6' 9" (2.06 m)		,
Lee Cummard	6' 7"	1985	,,
Lionel Barthez	5'11" (180 cm)		, France
Lucinda Davis (actress)	5 ft 3 (160 cm)		,
Balaram Stack	5'7"	1991	,
Dario Frigo	1.81nbsp;m (5nbsp;ftnbsp;11nbsp;in)	1973	,
German Puentes	5'8" (173 cm)		, Spain
Hayden Allen	1.90 m	1979	,
Ivor Morgan	5 ft. 10½ ins.	1884	,
Juan José Estrada (boxer)	5 ft 10 in (180 cm)	1963	,,
Loren Cameron	5’ 3”		,,
Aleksandr Shustov	1.88 m (6 ft 2 in)	1984	,,
Andrew Harriman	6 ft 1 in	1964	,
Clay Marzo	6'1"	1989	,
Cliff Morgan	5ft. 7ins.	1930	,, Wales
Corey Lawrie	181 cm		, New Zealand
David Peachey	190 cm (6 ft 3 in)	1974	,, Australia
Elmo Magalona	5'9	1994	,
Francisco Albano Barrio	170 cm	1988	,
Fred Briggs	183 cm (6 ft 0 in)		,
Gareth Wyatt	5 ft 10 ins (1.78 m)	1977	Pontypridd
Gregory White	1.84m	1988	Manly , Sydney , New South Wales , Australia
Gustavo Badell	5 ft 8 in / 172 cm.	1972	Venezuela
Jim Gavin (footballer)	5'10"		,
Kozue Ando	1.65 m	1982	, Japan
Alejandro Treviño Morales	5’ 7”		,,.
Alex Stepanek	5'11" (180 cm)		,West Germany
Andreas Anastasopoulos	1.87	1976	,
Bob Maitland	5ft 7½in	1924	Birmingham, England, United Kingdom
Colby Miller	5 ft. 10 in.	1980	,
Dallas McIlwain	5 ft 11 in (1.80 m)		,
Dmitrijs Trefilovs	170 cm	1987	,,(now)
Eddie Fiola	5' 4"		, United States of America
Fazlul Karim (lawyer)	5'11"		Harbang, Chakaria,,
Francis Skidmore	250		Birmingham, UK
Isaac Bustos	5 ft 7 in (173 cm)	1975	,,
Johan Landsberg	6' (183 cm)		, Sweden
Alexander Zass	166 cm (5 ft 5)		Vilnus,
Carlos Poblete	1,78 meters	1963	,
David Ortiz	6'4	1975	,
Frankie Baltazar	5 ft 8 in (174 cm)	1958	,
James Avery (actor)	6ft 5ins	1948	,
John Langford (rugby union)	6ft 7in		,
Malo Solomona	182 cm		New Zealand
Alberto Gallardo Alvarez	5'10"	1962	Playa, Matanzas, Cuba
Alejandro Martín González	5 ft 10 in (180 cm)	1973	,
Arnaud Lepont	5'10		, France
Dingdong Dantes	5'11"/1.80 m	1980	,
Gaston Lane	1m 68 cm	1883	,
Gigi Edgley	1.70 m (5' 7")	1977	, Australia
Hans Schwaier	5'8" (173 cm)		,
Jack Joyce	5'-8"		in
Kevin O'Halloran	180nbsp;cm		,,
Lee Mitchell	188 cm	1988	,,
Alicia McCormack	(2011)	1983	Helensburgh , New South Wales
Anna Dementyeva	144 centimetres	1994	,
Charlie Pritchard	5 ft 11 in	1882	,
Dougie Morkel	1.83m	1885	,
Edmund Cobb	6' 1" (1.85 m)	1892	,, USA
Geraldo Rojas	6 ft 2 in (178 cm)	1990	,,
